kickX,kickY,kickAngle,goalZ,outcome,kickPleas,kickArou,goalPleas,goalArou
1.045365,-0.007467,-22.000000,-0.250797,R,-0.400000,0.310436,0.249009,0.087307
1.106999,0.183126,28.000000,0.048300,O,-0.654257,-0.101069,0.451581,0.823932
1.066224,0.089534,12.000000,0.498108,G,1.000000,0.501673,-0.996460,-0.811393
1.051268,0.039000,-6.000000,-0.245029,G,1.000000,0.632127,-0.612638,0.109944
1.108431,0.123358,36.000000,0.153055,O,-0.818382,-0.527793,0.346445,0.441620
1.044859,0.013162,-16.000000,0.099299,G,0.746711,0.527558,-0.373356,0.639686
1.084397,0.102048,24.000000,-0.346875,O,-0.557533,0.150415,0.847076,-0.262096
1.043498,-0.023778,-28.000000,-0.249427,O,-0.617505,-0.005512,0.250584,0.093032
1.097300,0.122970,34.000000,0.095278,O,-0.773033,-0.409886,0.404794,0.653796
1.050688,-0.032065,-28.000000,0.351114,O,-0.619536,-0.010793,0.851040,-0.276509
1.061296,0.074049,8.000000,0.404670,G,1.000000,0.620265,-0.783749,-0.469143
1.045871,0.052819,-2.000000,-0.096745,D,-0.300000,0.942233,1.000000,0.652556
1.092411,0.119007,32.000000,-0.104954,O,-0.570514,0.116664,0.604065,0.621583
1.040685,0.025776,-10.000000,0.048156,G,0.540527,0.681653,-0.270263,0.825149
1.065563,0.083432,12.000000,-0.350626,D,-0.300000,0.532510,1.000000,-0.273970
1.084459,0.118781,30.000000,0.151171,O,-0.674565,-0.153869,0.349480,0.452655
1.050733,-0.031773,-28.000000,-0.354127,O,-0.624892,-0.024720,0.145245,-0.290018
1.043157,-0.008130,-22.000000,0.004935,R,-0.400000,0.312599,0.505293,0.980754
1.054470,0.148907,8.000000,0.148135,G,1.000000,0.645166,-0.502806,0.461921
1.064636,0.086694,12.000000,-0.250712,G,0.464742,0.517555,-0.232371,0.090639
1.054875,0.062355,0.000000,0.353182,G,0.555869,0.924816,-0.277935,-0.284067
1.065699,0.092542,18.000000,-0.200753,L,-0.400000,0.337718,0.700229,0.271895
1.008225,0.027988,-26.000000,-0.201577,O,-0.577886,0.097495,0.298287,0.266499
1.044711,0.033895,-8.000000,0.054319,G,0.267821,0.812429,-0.133910,0.804869
1.086120,0.113115,28.000000,0.399387,O,-0.684876,-0.180679,0.100226,-0.453723
1.050527,0.077079,6.000000,-0.201703,D,-0.300000,0.760342,1.000000,0.266944
1.046258,-0.028706,-28.000000,-0.297163,O,-0.602566,0.033328,0.202362,-0.082319
1.053915,-0.032611,-30.000000,0.499660,O,-0.622431,-0.018320,0.999410,-0.816037
1.052067,0.050571,-4.000000,-0.397336,G,0.959650,0.917636,-0.479825,-0.445314
1.068664,0.086237,14.000000,0.303083,G,1.000000,0.518080,-0.785130,-0.102581
1.045988,0.050344,-4.000000,0.248550,G,0.285855,0.894268,-0.142928,0.095782
1.059905,0.070883,6.000000,-0.145942,D,-0.300000,0.969034,1.000000,0.469070
1.055206,0.078540,10.000000,-0.499974,D,-0.300000,0.595969,1.000000,-0.820107
1.056902,0.076988,10.000000,-0.447851,D,-0.300000,0.612087,1.000000,-0.628083
1.049681,0.066598,2.000000,-0.196884,D,-0.300000,0.878957,1.000000,0.280473
1.046448,-0.007313,-20.000000,0.198704,R,-0.400000,0.379666,0.698824,0.277004
1.048864,-0.012907,-22.000000,-0.498396,R,-0.400000,0.289712,0.001678,-0.812080
1.006349,0.054167,-20.000000,0.147844,R,-0.400000,0.225514,0.648041,0.461669
1.043479,-0.000790,-20.000000,0.198417,R,-0.400000,0.379231,0.698685,0.277508
1.090958,0.110039,28.000000,0.347354,O,-0.655553,-0.104437,0.152467,-0.263758
1.042062,-0.017343,-24.000000,0.302318,O,-0.557329,0.150944,0.802440,-0.099783
1.097800,0.121764,34.000000,0.252322,O,-0.772204,-0.407732,0.247292,0.081062
