@relation outTestNew

@attribute kickX numeric
@attribute kickZ numeric
@attribute kickAngle numeric
@attribute goalZ numeric
@attribute Outcome {O,L,G,R,D}
@attribute KickPleas numeric
@attribute KickArou numeric
@attribute GoalPleas numeric
@attribute GoalArou numeric

@data
1.045857,-0.034801,-30,-0.451046,O,-0.638941,-0.061247,0.049024,-0.639912
1.06438,0.163163,16,0.001293,G,1,0.402083,-0.59862,0.997445
1.10272,0.121963,34,-0.347727,O,-0.772622,-0.408816,0.847222,-0.262625
1.049392,0.074759,4,0.099985,G,0.682674,0.7595,-0.341337,0.633318
1.042727,0.025341,-12,0.151593,G,0.556845,0.569582,-0.278422,0.447288
1.048939,-0.047384,-36,0.400426,O,-0.730039,-0.298102,0.900688,-0.457046
1.088408,0.116408,30,-0.450651,O,-0.694899,-0.206738,0.950898,-0.639628
1.049077,0.059184,-2,-0.451059,G,0.89666,0.997984,-0.44833,-0.637622
1.058167,-0.046643,-36,0.051757,O,-0.735894,-0.313324,0.551456,0.812887
1.074438,0.094991,20,-0.197604,L,-0.4,0.246255,0.697926,0.280269
1.002075,0.043896,-24,0.248495,R,-0.4,0.234456,0.747796,0.098924
1.051645,0.071001,2,-0.347681,G,0.292369,0.798044,-0.146185,-0.265966
1.044478,-0.032555,-30,-0.097327,O,-0.667233,-0.134805,0.402918,0.646974
1.054305,0.070627,2,-0.20472,D,-0.3,0.882993,1,0.256191
1.050841,-0.0315,-28,0.349806,O,-0.59348,0.056951,0.850187,-0.273406
1.052748,-0.02572,-28,0.003032,O,-0.670243,-0.142632,0.502687,0.990229
1.081132,0.112365,26,-0.050814,O,-0.637455,-0.057382,0.550653,0.815807
1.043846,-0.018759,-26,-0.450287,O,-0.561656,0.139693,0.049681,-0.637523
1.04856,0.00618,-18,-0.101834,G,1,0.427039,-0.675539,0.626989
1.048692,-0.019052,-26,-0.052973,O,-0.570008,0.117979,0.44653,0.805562
1.06245,0.091812,16,-0.403174,L,-0.4,0.317199,0.903488,-0.467229
1.1347,0.186035,36,0.203245,O,-0.629302,-0.036186,0.296133,0.258665
1.05598,-0.048612,-34,-0.154302,O,-0.661665,-0.120329,0.346228,0.44083
1.069636,0.099793,18,0.046993,L,-0.4,0.341888,0.453512,0.830953
1.12645,0.184165,36,0.200661,O,-0.792891,-0.461515,0.299655,0.271471
1.052547,0.053003,-2,0.154089,G,0.366947,0.970894,-0.183473,0.438665
1.077036,0.095403,20,0.149132,G,1,0.374873,-0.774112,0.458233
1.095441,0.122025,32,0.101363,O,-0.653332,-0.098664,0.399205,0.633473
1.046059,-0.007551,-20,0.304402,R,-0.4,0.300819,0.803934,-0.105214
1.125889,0.18898,36,0.450901,O,-0.787643,-0.447871,0.049019,-0.639929
1.048203,0.043362,-6,-0.495063,G,1,0.737441,-0.757464,-0.799656
1.087269,0.114467,28,0.053305,O,-0.662953,-0.123679,0.447061,0.807494
1.052756,0.060891,-2,-0.004258,G,0.236491,0.877867,-0.118246,0.985864
1.042233,-0.017103,-24,-0.501433,O,-0.547683,0.176024,-0.001,-0.821816
1.049663,-0.016671,-26,-0.09764,O,-0.573315,0.109382,0.401943,0.643428
1.050226,0.064269,2,0.10239,G,0.555415,0.824861,-0.277707,0.627024
1.04907,0.002436,-18,0.047961,G,1,0.432665,-0.519312,0.82537
1.045546,0.045513,-6,-0.348836,G,1,0.846312,-0.502117,-0.267015
1.069206,0.094561,16,-0.003862,L,-0.4,0.382916,0.503993,0.985478
1.048467,0.058315,0,0.454455,G,1,0.937875,-0.516661,-0.652856
1.072947,0.098758,18,0.298109,L,-0.4,0.295565,0.202244,-0.082749
1.006979,0.057298,-18,0.447632,O,-0.567104,0.12553,0.947544,-0.627432
1.047418,-0.049386,-34,0.404474,O,-0.701405,-0.223652,0.904486,-0.47086
1.041993,-0.018635,-26,-0.304383,O,-0.587934,0.071372,0.197443,-0.100206
1.083074,0.110695,28,0.4981,O,-0.667167,-0.134635,-0.002721,-0.828075
1.045098,-0.009983,-22,0.14592,R,-0.4,0.34962,0.64549,0.470945
1.006367,0.002986,-32,0.353791,O,-0.67198,-0.147149,0.853702,-0.28619
1.048406,-0.030334,-28,-0.347794,O,-0.601978,0.034857,0.152923,-0.262098
1.061756,0.089627,12,0.304643,G,1,0.50961,-0.795189,-0.10836
1.043603,-0.030583,-28,0.154374,O,-0.628565,-0.034268,0.653524,0.441729
1.051769,-0.035324,-30,0.201535,O,-0.637783,-0.058236,0.701643,0.266752
1.083437,0.114869,26,-0.245933,O,-0.63065,-0.039691,0.74561,0.106871
1.046326,-0.02691,-28,0.400383,O,-0.614983,0.001043,0.899936,-0.454313
1.09066,0.169717,22,-0.447234,O,-0.579591,0.093064,0.94694,-0.625236
1.016866,0.081977,-12,0.003493,G,1,0.407131,-0.589309,0.987055
1.040557,0.032467,-10,0.496608,G,0.230681,0.617701,-0.11534,-0.809597
1.046899,-0.004237,-22,0.052977,R,-0.4,0.288383,0.552971,0.80738
